path,line,pattern,category,snippet
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,4,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann4"", ""image_id"": 1, ""box_id"": ""ann4"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1491.0, 1011.0, 521.0, 271.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann4.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,4,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann4"", ""image_id"": 1, ""box_id"": ""ann4"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1491.0, 1011.0, 521.0, 271.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann4.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,5,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann5"", ""image_id"": 1, ""box_id"": ""ann5"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1535.0, 25.0, 517.0, 290.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann5.jpg"", ""image_path"": ""000006140d.JPG"", ""score"":"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,5,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann5"", ""image_id"": 1, ""box_id"": ""ann5"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1535.0, 25.0, 517.0, 290.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann5.jpg"", ""image_path"": ""000006140d.JPG"", ""score"":"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,5,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann5"", ""image_id"": 1, ""box_id"": ""ann5"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1535.0, 25.0, 517.0, 290.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann5.jpg"", ""image_path"": ""000006140d.JPG"", ""score"":"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,6,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann6"", ""image_id"": 1, ""box_id"": ""ann6"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1527.0, 264.0, 518.0, 295.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann6.jpg"", ""image_path"": ""000006140d.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,6,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann6"", ""image_id"": 1, ""box_id"": ""ann6"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1527.0, 264.0, 518.0, 295.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann6.jpg"", ""image_path"": ""000006140d.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,6,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann6"", ""image_id"": 1, ""box_id"": ""ann6"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1527.0, 264.0, 518.0, 295.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann6.jpg"", ""image_path"": ""000006140d.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,7,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann15"", ""image_id"": 3, ""box_id"": ""ann15"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1610.0, 284.0, 700.0, 472.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann15.jpg"", ""image_path"": ""100137h.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,7,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann15"", ""image_id"": 3, ""box_id"": ""ann15"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1610.0, 284.0, 700.0, 472.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann15.jpg"", ""image_path"": ""100137h.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,7,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann15"", ""image_id"": 3, ""box_id"": ""ann15"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1610.0, 284.0, 700.0, 472.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann15.jpg"", ""image_path"": ""100137h.JPG"", ""score"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,8,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann16"", ""image_id"": 3, ""box_id"": ""ann16"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1723.0, 1.0, 685.0, 393.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann16.jpg"", ""image_path"": ""100137h.JPG"", ""score"": "
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,8,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann16"", ""image_id"": 3, ""box_id"": ""ann16"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1723.0, 1.0, 685.0, 393.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann16.jpg"", ""image_path"": ""100137h.JPG"", ""score"": "
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,8,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann16"", ""image_id"": 3, ""box_id"": ""ann16"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1723.0, 1.0, 685.0, 393.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann16.jpg"", ""image_path"": ""100137h.JPG"", ""score"": "
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,9,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann17"", ""image_id"": 3, ""box_id"": ""ann17"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1435.0, 1386.0, 556.0, 411.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann17.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,9,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann17"", ""image_id"": 3, ""box_id"": ""ann17"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1435.0, 1386.0, 556.0, 411.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann17.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,9,defect_broken/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann17"", ""image_id"": 3, ""box_id"": ""ann17"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1435.0, 1386.0, 556.0, 411.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann17.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,10,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann18"", ""image_id"": 3, ""box_id"": ""ann18"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1553.0, 1016.0, 577.0, 393.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann18.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,10,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann18"", ""image_id"": 3, ""box_id"": ""ann18"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1553.0, 1016.0, 577.0, 393.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann18.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,10,defect_broken/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann18"", ""image_id"": 3, ""box_id"": ""ann18"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1553.0, 1016.0, 577.0, 393.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann18.jpg"", ""image_path"": ""100137h.JPG"", ""scor"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,11,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann19"", ""image_id"": 3, ""box_id"": ""ann19"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1521.0, 644.0, 654.0, 408.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann19.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,11,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann19"", ""image_id"": 3, ""box_id"": ""ann19"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1521.0, 644.0, 654.0, 408.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann19.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,11,defect_broken/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann19"", ""image_id"": 3, ""box_id"": ""ann19"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1521.0, 644.0, 654.0, 408.0], ""crop_path"": ""crops/val/defect_broken/train_img3_ann19.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,12,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann20"", ""image_id"": 3, ""box_id"": ""ann20"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1244.0, 1750.0, 663.0, 386.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann20.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,12,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann20"", ""image_id"": 3, ""box_id"": ""ann20"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1244.0, 1750.0, 663.0, 386.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann20.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,12,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img3_ann20"", ""image_id"": 3, ""box_id"": ""ann20"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1244.0, 1750.0, 663.0, 386.0], ""crop_path"": ""crops/val/insulator_ok/train_img3_ann20.jpg"", ""image_path"": ""100137h.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,13,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann45"", ""image_id"": 5, ""box_id"": ""ann45"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1614.0, 1317.0, 722.0, 377.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann45.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,13,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann45"", ""image_id"": 5, ""box_id"": ""ann45"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1614.0, 1317.0, 722.0, 377.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann45.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,13,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann45"", ""image_id"": 5, ""box_id"": ""ann45"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1614.0, 1317.0, 722.0, 377.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann45.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,14,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann46"", ""image_id"": 5, ""box_id"": ""ann46"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1656.0, 1645.0, 727.0, 466.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann46.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,14,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann46"", ""image_id"": 5, ""box_id"": ""ann46"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1656.0, 1645.0, 727.0, 466.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann46.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,14,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann46"", ""image_id"": 5, ""box_id"": ""ann46"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1656.0, 1645.0, 727.0, 466.0], ""crop_path"": ""crops/val/insulator_ok/train_img5_ann46.jpg"", ""image_path"": ""100190d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,15,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann47"", ""image_id"": 5, ""box_id"": ""ann47"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1536.0, 315.0, 721.0, 348.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann47.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,15,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann47"", ""image_id"": 5, ""box_id"": ""ann47"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1536.0, 315.0, 721.0, 348.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann47.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,15,defect_flashover/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann47"", ""image_id"": 5, ""box_id"": ""ann47"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1536.0, 315.0, 721.0, 348.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann47.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,16,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann48"", ""image_id"": 5, ""box_id"": ""ann48"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1596.0, 963.0, 727.0, 366.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann48.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,16,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann48"", ""image_id"": 5, ""box_id"": ""ann48"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1596.0, 963.0, 727.0, 366.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann48.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,16,defect_flashover/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann48"", ""image_id"": 5, ""box_id"": ""ann48"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1596.0, 963.0, 727.0, 366.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann48.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,17,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann49"", ""image_id"": 5, ""box_id"": ""ann49"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1511.0, 15.0, 694.0, 387.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann49.jpg"", ""image_path"": ""100190d.JPG"", ""sco"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,17,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann49"", ""image_id"": 5, ""box_id"": ""ann49"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1511.0, 15.0, 694.0, 387.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann49.jpg"", ""image_path"": ""100190d.JPG"", ""sco"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,17,defect_flashover/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann49"", ""image_id"": 5, ""box_id"": ""ann49"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1511.0, 15.0, 694.0, 387.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann49.jpg"", ""image_path"": ""100190d.JPG"", ""sco"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,18,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann50"", ""image_id"": 5, ""box_id"": ""ann50"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1563.0, 655.0, 717.0, 381.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann50.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,18,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann50"", ""image_id"": 5, ""box_id"": ""ann50"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1563.0, 655.0, 717.0, 381.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann50.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,18,defect_flashover/,metadata_or_eval_artifact,"{""record_id"": ""train_img5_ann50"", ""image_id"": 5, ""box_id"": ""ann50"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1563.0, 655.0, 717.0, 381.0], ""crop_path"": ""crops/val/defect_flashover/train_img5_ann50.jpg"", ""image_path"": ""100190d.JPG"", ""sc"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,19,crop_path,metadata_or_eval_artifact,"{""record_id"": ""val_img10_ann1039"", ""image_id"": 10, ""box_id"": ""ann1039"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1073.0, 1315.0, 563.0, 305.0], ""crop_path"": ""crops/val/insulator_ok/val_img10_ann1039.jpg"", ""image_path"": ""130012h.JPG"", """
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,19,crops/val,metadata_or_eval_artifact,"{""record_id"": ""val_img10_ann1039"", ""image_id"": 10, ""box_id"": ""ann1039"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1073.0, 1315.0, 563.0, 305.0], ""crop_path"": ""crops/val/insulator_ok/val_img10_ann1039.jpg"", ""image_path"": ""130012h.JPG"", """
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,19,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""val_img10_ann1039"", ""image_id"": 10, ""box_id"": ""ann1039"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1073.0, 1315.0, 563.0, 305.0], ""crop_path"": ""crops/val/insulator_ok/val_img10_ann1039.jpg"", ""image_path"": ""130012h.JPG"", """
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,20,crop_path,metadata_or_eval_artifact,"{""record_id"": ""val_img10_ann1040"", ""image_id"": 10, ""box_id"": ""ann1040"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1075.0, 468.0, 605.0, 404.0], ""crop_path"": ""crops/val/defect_flashover/val_img10_ann1040.jpg"", ""image_path"": ""130012h.JPG"""
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,20,crops/val,metadata_or_eval_artifact,"{""record_id"": ""val_img10_ann1040"", ""image_id"": 10, ""box_id"": ""ann1040"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1075.0, 468.0, 605.0, 404.0], ""crop_path"": ""crops/val/defect_flashover/val_img10_ann1040.jpg"", ""image_path"": ""130012h.JPG"""
