record_id,gt_coarse_class,gt_visibility,change_bucket,matched_pred_record_id_tight,pred_vlm_coarse_class_tight,pred_vlm_visibility_tight,matched_pred_record_id_context,pred_vlm_coarse_class_context,pred_vlm_visibility_context,ceiling_coarse_class_tight,ceiling_correct_tight
train_img1_ann1,defect_broken,clear,both_wrong,val_img1_pred1,unknown,clear,val_img1_pred1,defect_flashover,clear,defect_flashover,False
train_img1_ann2,defect_broken,clear,both_wrong,val_img1_pred14,defect_flashover,clear,val_img1_pred14,defect_flashover,clear,defect_flashover,False
train_img3_ann18,defect_broken,clear,both_wrong,val_img2_pred3,defect_flashover,clear,val_img2_pred3,defect_flashover,clear,defect_broken,True
train_img5_ann47,defect_flashover,clear,both_wrong,val_img3_pred1,insulator_ok,clear,val_img3_pred1,insulator_ok,clear,defect_broken,False
train_img5_ann48,defect_flashover,clear,both_wrong,val_img3_pred4,unknown,clear,val_img3_pred4,insulator_ok,clear,unknown,False
val_img17_ann1053,defect_flashover,clear,both_wrong,val_img6_pred18,defect_broken,clear,val_img6_pred18,insulator_ok,clear,defect_flashover,True
val_img17_ann1055,defect_flashover,clear,both_wrong,val_img6_pred24,defect_broken,clear,val_img6_pred24,insulator_ok,clear,insulator_ok,False
val_img17_ann1059,defect_flashover,clear,both_wrong,val_img6_pred11,insulator_ok,clear,val_img6_pred11,defect_broken,clear,insulator_ok,False
train_img1_ann3,insulator_ok,clear,both_wrong,val_img1_pred12,defect_broken,ambiguous,val_img1_pred12,defect_broken,clear,defect_broken,False
train_img1_ann4,insulator_ok,clear,both_wrong,val_img1_pred3,defect_broken,clear,val_img1_pred3,defect_flashover,clear,insulator_ok,True
train_img1_ann6,insulator_ok,clear,both_wrong,val_img1_pred5,defect_flashover,clear,val_img1_pred5,defect_flashover,clear,insulator_ok,True
train_img3_ann16,insulator_ok,clear,both_wrong,val_img2_pred1,defect_broken,clear,val_img2_pred1,defect_broken,clear,defect_flashover,False
train_img5_ann46,insulator_ok,clear,both_wrong,val_img3_pred9,defect_flashover,clear,val_img3_pred9,defect_broken,clear,defect_flashover,False
val_img10_ann1039,insulator_ok,ambiguous,both_wrong,val_img5_pred15,defect_flashover,ambiguous,val_img5_pred15,defect_flashover,ambiguous,unknown,False
val_img10_ann1042,insulator_ok,ambiguous,both_wrong,val_img5_pred9,defect_flashover,ambiguous,val_img5_pred9,unknown,ambiguous,unknown,False
val_img10_ann1043,insulator_ok,ambiguous,both_wrong,val_img5_pred3,defect_flashover,ambiguous,val_img5_pred3,defect_flashover,ambiguous,defect_flashover,False
val_img10_ann1044,insulator_ok,ambiguous,both_wrong,val_img5_pred1,unknown,ambiguous,val_img5_pred1,defect_flashover,ambiguous,defect_flashover,False
val_img31_ann1063,insulator_ok,clear,both_wrong,val_img7_pred4,defect_flashover,ambiguous,val_img7_pred4,unknown,ambiguous,unknown,False
val_img31_ann1064,insulator_ok,clear,both_wrong,val_img7_pred6,,,val_img7_pred6,,,unknown,False
val_img33_ann1066,insulator_ok,clear,both_wrong,val_img8_pred8,defect_flashover,clear,val_img8_pred8,defect_flashover,ambiguous,defect_flashover,False
val_img33_ann1067,insulator_ok,clear,both_wrong,val_img8_pred11,defect_broken,clear,val_img8_pred11,defect_flashover,clear,defect_broken,False
val_img33_ann1071,insulator_ok,clear,both_wrong,val_img8_pred2,defect_flashover,clear,val_img8_pred2,defect_broken,clear,defect_flashover,False
val_img33_ann1073,insulator_ok,clear,both_wrong,val_img8_pred4,defect_flashover,clear,val_img8_pred4,defect_flashover,ambiguous,defect_flashover,False
val_img33_ann1074,insulator_ok,clear,both_wrong,val_img8_pred10,defect_broken,clear,val_img8_pred10,defect_flashover,ambiguous,defect_flashover,False
val_img33_ann1075,insulator_ok,clear,both_wrong,val_img8_pred7,defect_flashover,clear,val_img8_pred7,defect_broken,clear,defect_flashover,False
val_img33_ann1076,insulator_ok,clear,both_wrong,val_img8_pred6,defect_flashover,clear,val_img8_pred6,defect_flashover,clear,defect_flashover,False
val_img9_ann1037,insulator_ok,ambiguous,both_wrong,val_img4_pred1,defect_flashover,ambiguous,val_img4_pred1,defect_flashover,clear,defect_flashover,False
train_img3_ann19,defect_broken,clear,helped,val_img2_pred4,defect_flashover,clear,val_img2_pred4,defect_broken,clear,insulator_ok,False
train_img5_ann50,defect_flashover,clear,helped,val_img3_pred8,insulator_ok,clear,val_img3_pred8,defect_flashover,clear,insulator_ok,False
val_img17_ann1054,defect_flashover,clear,helped,val_img6_pred25,defect_broken,clear,val_img6_pred25,defect_flashover,clear,defect_flashover,True
val_img33_ann1068,defect_flashover,ambiguous,helped,val_img8_pred44,defect_broken,clear,val_img8_pred44,defect_flashover,clear,defect_flashover,True
val_img33_ann1070,defect_flashover,clear,helped,val_img8_pred1,unknown,clear,val_img8_pred1,defect_flashover,clear,defect_flashover,True
train_img1_ann5,insulator_ok,clear,helped,val_img1_pred4,defect_flashover,clear,val_img1_pred4,insulator_ok,clear,defect_flashover,False
train_img3_ann20,insulator_ok,partial,helped,val_img2_pred19,defect_flashover,ambiguous,val_img2_pred19,insulator_ok,clear,defect_flashover,False
val_img17_ann1045,insulator_ok,clear,helped,val_img6_pred1,defect_flashover,clear,val_img6_pred1,insulator_ok,clear,insulator_ok,True
val_img17_ann1058,insulator_ok,clear,helped,val_img6_pred14,defect_broken,clear,val_img6_pred14,insulator_ok,clear,defect_flashover,False
val_img33_ann1065,insulator_ok,clear,helped,val_img8_pred43,defect_broken,clear,val_img8_pred43,insulator_ok,clear,insulator_ok,True
val_img31_ann1061,defect_broken,clear,hurt,val_img7_pred7,defect_broken,clear,val_img7_pred7,defect_flashover,ambiguous,defect_broken,True
train_img5_ann49,defect_flashover,clear,hurt,val_img3_pred2,defect_flashover,clear,val_img3_pred2,insulator_ok,clear,insulator_ok,False
val_img17_ann1050,defect_flashover,clear,hurt,val_img6_pred33,defect_flashover,clear,val_img6_pred33,insulator_ok,clear,defect_flashover,True
val_img17_ann1051,defect_flashover,clear,hurt,val_img6_pred32,defect_flashover,clear,val_img6_pred32,defect_broken,clear,defect_flashover,True
val_img17_ann1052,defect_flashover,clear,hurt,val_img6_pred46,defect_flashover,clear,val_img6_pred46,insulator_ok,clear,insulator_ok,False
val_img33_ann1069,defect_flashover,clear,hurt,val_img8_pred15,defect_flashover,clear,val_img8_pred15,defect_broken,clear,defect_flashover,True
train_img5_ann45,insulator_ok,clear,hurt,val_img3_pred3,insulator_ok,clear,val_img3_pred3,unknown,clear,insulator_ok,True
val_img17_ann1046,insulator_ok,clear,hurt,val_img6_pred5,insulator_ok,clear,val_img6_pred5,defect_flashover,clear,insulator_ok,True
