record_id,image_id,box_id,gt_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,change_bucket,qwen_visibility,candidate_visibility,qwen_tags,candidate_tags,crop_path_hidden_from_prompt,notes
val_img17_ann1053,17,ann1053,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img17_ann1054,17,ann1054,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img17_ann1055,17,ann1055,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img17_ann1056,17,ann1056,defect_flashover,defect_flashover,unknown,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace,True,
val_img17_ann1057,17,ann1057,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img17_ann1058,17,ann1058,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img17_ann1059,17,ann1059,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img31_ann1060,31,ann1060,insulator_ok,unknown,insulator_ok,False,True,helped_wrong_to_right,ambiguous,clear,clean_surface|regular_disc_shape|no_visible_break|no_visible_burn_mark|uniform_appearance,intact_structure|clean_surface,True,
val_img31_ann1061,31,ann1061,defect_broken,defect_broken,defect_flashover,True,False,hurt_right_to_wrong,ambiguous,clear,missing_fragment|edge_discontinuity|broken_profile,dark_surface_trace|localized_darkening,True,
val_img31_ann1062,31,ann1062,insulator_ok,defect_broken,insulator_ok,False,True,helped_wrong_to_right,ambiguous,clear,missing_fragment|edge_discontinuity|broken_profile,clean_surface|uniform_appearance,True,
val_img31_ann1063,31,ann1063,insulator_ok,insulator_ok,defect_flashover,True,False,hurt_right_to_wrong,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,dark_surface_trace|localized_darkening,True,
val_img31_ann1064,31,ann1064,insulator_ok,unknown,unknown,False,False,both_wrong_same,ambiguous,clear,clean_surface|regular_disc_shape,low_contrast|unclear_boundary,True,
val_img33_ann1065,33,ann1065,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img33_ann1066,33,ann1066,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1067,33,ann1067,insulator_ok,defect_broken,insulator_ok,False,True,helped_wrong_to_right,clear,clear,missing_fragment|edge_discontinuity|broken_profile,clean_surface|uniform_appearance,True,
val_img33_ann1068,33,ann1068,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1069,33,ann1069,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1070,33,ann1070,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img33_ann1071,33,ann1071,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1072,33,ann1072,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1073,33,ann1073,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1074,33,ann1074,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1075,33,ann1075,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img33_ann1076,33,ann1076,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img9_ann1037,9,ann1037,insulator_ok,defect_flashover,unknown,False,False,both_wrong_different,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace,True,
val_img9_ann1038,9,ann1038,defect_flashover,defect_flashover,unknown,True,False,hurt_right_to_wrong,ambiguous,clear,burn_like_mark|dark_surface_trace,low_contrast|unclear_boundary,True,
